Tỉnh/Thành,Đường,Đoạn
THÀNH PHỐ LONG KHÁNH ,Đường Hàm Nghi (đường Bảo Vinh B),Đoạn từ ngã ba Ông Phúc đến giáp cây xăng Sáu Đông
THÀNH PHỐ LONG KHÁNH ,Đường Hàm Nghi (đường Bảo Vinh B),Đoạn từ cây xăng Sáu Đông đến giáp ranh xã Bảo Quang
THÀNH PHỐ LONG KHÁNH ,Đường Lê A,Đoạn từ đường 21 Tháng 4 đến giáp ranh Khu công nghiệp Bình Lộc
THÀNH PHỐ LONG KHÁNH ,Đường Lê A,Đoạn tiếp theo đến giáp cầu Bình Lộc
THÀNH PHỐ LONG KHÁNH ,Đường Xuân Lập - Bàu Sao,Đoạn từ đường số 1 vào 500 m
THÀNH PHỐ LONG KHÁNH ,Đường Xuân Lập - Bàu Sao,Đoạn tiếp theo đến đường lô 8 đi cầu Be
THÀNH PHỐ LONG KHÁNH ,Đường Xuân Lập - Bàu Sao,"Đoạn từ đường lô 8 đi cầu Be đến ngã ba đi ấp Đồi Rìu, xã Hàng Gòn"
THÀNH PHỐ LONG KHÁNH ,Đường Suối Tre - Bình Lộc,Đoạn từ Quốc lộ 1A đến ngã tư trụ sở Nông trường cao su Bình Lộc
THÀNH PHỐ LONG KHÁNH ,Đường Suối Tre - Bình Lộc,"Đoạn từ ngã tư trụ sở Nông trường cao su Bình Lộc đến giáp ranh xã Xuân Thiện, huyện Thống Nhất"
THÀNH PHỐ LONG KHÁNH ,Đường Suối Chồn - Bàu Cối,Đoạn từ khu tái định cư đến ngã ba Suối Chồn
THÀNH PHỐ LONG KHÁNH ,Đường Suối Chồn - Bàu Cối,Đoạn từ ngã ba Suối Chồn đến giáp ranh xã Bảo Quang
THÀNH PHỐ LONG KHÁNH ,Đường Lê A ,Đoạn từ cầu Bình Lộc đến giáp ngã ba Đài tưởng niệm
THÀNH PHỐ LONG KHÁNH ,Đường Lê A ,Đoạn từ ngã ba Đài tưởng niệm đến giáp UBND xã Bình Lộc
THÀNH PHỐ LONG KHÁNH ,Đường Bình Lộc - Cây Da (từ đường Lê A đến giáp ranh huyện Định Quán) ,Đoạn từ đường Lê A đến đường Bình Lộc - Bảo Quang
THÀNH PHỐ LONG KHÁNH ,Đường Bình Lộc - Cây Da (từ đường Lê A đến giáp ranh huyện Định Quán) , Đoạn còn lại
THÀNH PHỐ LONG KHÁNH ,Đường Suối Chồn - Bàu Cối ,Đoạn từ giáp ranh phường Bảo Vinh đến Chùa Quảng Hạnh Tự
THÀNH PHỐ LONG KHÁNH ,Đường Suối Chồn - Bàu Cối ,Đoạn từ Chùa Quảng Hạnh Tự đến cơ sở Thủ Mây
THÀNH PHỐ LONG KHÁNH ,Đường Suối Chồn - Bàu Cối ,Đoạn từ cơ sở Thủ Mây đến giáp ranh xã Xuân Bắc
THÀNH PHỐ LONG KHÁNH ,Đường Bảo Quang - Bàu Cối (đường 18 Gia Đình - Bàu Cối cũ),Đoạn từ UBND xã Bảo Quang đến ngã ba tiếp giáp đường Bảo Vinh - Bảo Quang
THÀNH PHỐ LONG KHÁNH ,Đường Bảo Quang - Bàu Cối (đường 18 Gia Đình - Bàu Cối cũ),Đoạn từ ngã ba tiếp giáp đường Bảo Vinh - Bảo Quang đến đường Suối Chồn - Bàu Cối
THÀNH PHỐ LONG KHÁNH ,Đường Điểu Xiển (Bàu Trâm 1) ,Đoạn từ đường Ngô Quyền vào 200 m
THÀNH PHỐ LONG KHÁNH ,Đường Điểu Xiển (Bàu Trâm 1) ,Đoạn tiếp theo từ trên 200 m đến ngã ba đi Miếu Bà
THÀNH PHỐ LONG KHÁNH ,Đường Điểu Xiển (Bàu Trâm 1) ,Đoạn còn lại (cách ngã ba đi Miếu Bà hướng cầu Hòa Bình 800 m)
THÀNH PHỐ LONG KHÁNH ,Đường Bàu Trâm 1 (tiếp theo đường Điểu Xiển đến giáp ranh xã Xuân Phú),Đoạn tiếp theo đường Điểu Xiển đến ngã ba cầu Hòa Bình
THÀNH PHỐ LONG KHÁNH ,Đường Bàu Trâm 1 (tiếp theo đường Điểu Xiển đến giáp ranh xã Xuân Phú),Đoạn từ ngã ba cầu Hòa Bình đến giáp xã ranh Xuân Phú
THÀNH PHỐ LONG KHÁNH ,Đường Xuân Tân - Hàng Gòn ,Đoạn từ Quốc lộ 56 đến giáp cầu Thầy Tư
THÀNH PHỐ LONG KHÁNH ,Đường Xuân Tân - Hàng Gòn ,"Đoạn từ cầu Thầy Tư đến giáp ranh xã Xuân Quế, huyện Cẩm Mỹ "
THÀNH PHỐ LONG KHÁNH ,Đường Hàng Gòn - Xuân Quế ,Đoạn từ Nhà máy mủ đến ngã ba đường đi Xuân Quế
THÀNH PHỐ LONG KHÁNH ,Đường Hàng Gòn - Xuân Quế ,Đoạn từ ngã ba đường đi Xuân Quế đến hết ranh giới xã Hàng Gòn
THÀNH PHỐ LONG KHÁNH ,Đường Hồng Thập Tự,Đoạn từ đường Xuân Bình-Xuân Lập đến giáp đường 21 tháng 4
THÀNH PHỐ LONG KHÁNH ,Đường Hùng Vương,Đoạn từ đường 21 tháng 4 đến đường Cách mạng tháng
THÀNH PHỐ LONG KHÁNH ,Đường Trần Phú,Đoạn từ đường Hồ Thị Hương vào 200m
THÀNH PHỐ LONG KHÁNH ,Đường Xuân Lập - Bàu Sao,Đoạn từ đường số 1 vào 500m
THÀNH PHỐ LONG KHÁNH ,Đường Xuân Lập - Bàu Sao,Đoạn từ đường lô 8 đi cầu Be đến ngã ba đi ấp Đồi Rìu xã Hàng Gòn
THÀNH PHỐ LONG KHÁNH ,Đường Suối Tre - Bình Lộc,Đoạn từ ngã tư trụ sở Nông trường cao su Bình Lộc đến giáp ranh xã Xuân Thiện huyện Thống Nhất
THÀNH PHỐ LONG KHÁNH ,Đường Điểu Xiển (Bàu Trâm 1),Đoạn từ đường Ngô Quyền vào 200m
THÀNH PHỐ LONG KHÁNH ,Đường Điểu Xiển (Bàu Trâm 1),Đoạn tiếp theo từ trên 200m đến ngã ba đi Miếu Bà
THÀNH PHỐ LONG KHÁNH ,Đường Điểu Xiển (Bàu Trâm 1),Đoạn còn lại (cách ngã ba đi Miếu Bà hướng cầu Hòa Bình 800m)
THÀNH PHỐ LONG KHÁNH ,Đường Xuân Tân - Hàng Gòn,Đoạn từ cầu Thầy Tư đến giáp ranh xã Xuân Quế huyện Cẩm Mỹ
THÀNH PHỐ LONG KHÁNH ,Đường 21 tháng 4 (Quốc lộ 1 A cũ),Đoạn từ đường vào nhà thờ Cáp Rang đến giáp đường Suối Tre - Bình Lộc
THÀNH PHỐ LONG KHÁNH ,Đường 21 tháng 4 (Quốc lộ 1 A cũ),Đoạn từ đường Suối Tre - Bình Lộc đến đường Võ Duy Dương
THÀNH PHỐ LONG KHÁNH ,Đường 21 tháng 4 (Quốc lộ 1 A cũ),Đoạn từ đường Võ Duy Dương đến giáp Công ty cổ phần xây dựng số 2 Đồng Nai
THÀNH PHỐ LONG KHÁNH ,Đường 21 tháng 4 (Quốc lộ 1 A cũ),Đoạn từ Công ty cổ phần xây dựng số 2 Đồng Nai đến giáp UBND phường Xuân Bình
THÀNH PHỐ LONG KHÁNH ,Đường 21 tháng 4 (Quốc lộ 1 A cũ),Đoạn từ UBND phường Xuân Bình đến giáp tượng đài
THÀNH PHỐ LONG KHÁNH ,Đường 21 tháng 4 (Quốc lộ 1 A cũ),Đoạn từ tượng đài đến giáp Cầu Gia Liêu
THÀNH PHỐ LONG KHÁNH ,Đường 21 tháng 4 (Quốc lộ 1 A cũ),Đoạn từ giáp cầu Gia Liêu đến giáp ngã ba Tân Phong
